Census Tract,Rural~Urban,Access to Care,Employment Accessibility,Affordability,Air Quality,Population Churning,Education,Food Accessibility,Income Inequality,Job Participation,Population Density,Segregation,Material Deprivation,Walkability,Community Environment Profile,Consumer Opportunity Profile,Economic Opportunity Profile,Wellness Disparity Profile,Health Opportunity Index
51680001100,Urban,0.348758377662,0.077906186268,0.211211211211,0.653020877716,0.665394402036,0.644114814735,0.566073888948,0.386504723347,0.493,0.043781849194,0.846522647383,0.265919137706,0.311308248,0.4647579169,0.2138860975,0.2747916333,0.2735873859,0.1989214073
51710004100,Urban,0.464126324045,0.089493433396,0.113113113113,0.714729301587,0.778625954198,0.630720027341,0.933302447075,0.347368421053,0.644,0.131172316839,0.861808350902,0.097221785638,0.339279307,0.5198207818,0.3578012552,0.2555774001,0.347600382,0.1998154355
51013101702,Urban,0.417921488605,0.124969489871,0.678678678679,0.709216309666,0.676844783715,0.85829745264,0.933302447075,0.33657219973,0.837,0.426841659328,0.804556208939,0.244074700171,0.656096059,0.7511251869,0.7890804864,0.2916146198,0.3440188627,0.2009759184
51191010502,Urban,0.370108838659,0.068882796436,0.182182182182,0.837607593827,0.685750636132,0.670668815261,0.942138730033,0.25641025641,0.447,0.011419903546,0.950091952556,0.299768607253,0.153523272,0.4079207984,0.4531144691,0.1748460878,0.2359379128,0.2040154129
51510200303,Urban,0.442811334286,0.114122556556,0.567567567568,0.596027849885,0.624681933842,0.785355307631,0.933302447075,0.488259109312,0.768,0.507336210888,0.964207620177,0.284449426164,0.269957245,0.6905879737,0.6731295568,0.3220977282,0.2802944579,0.206468776
51740212000,Urban,0.465202069973,0.094405594406,0.072072072072,0.788394062072,0.743002544529,0.620009403367,0.933302447075,0.383535762483,0.52,0.077483001733,0.847287898785,0.093477028852,0.310353557,0.472084806,0.3095726738,0.2539926144,0.3557641209,0.2092780762
51149850100,Urban,0.483901217115,0.015314230677,0.397397397397,0.799328910668,0.540712468193,0.641537383991,0.638105843959,0.433198380567,0.069,0.024211217135,0.817253713691,0.280708250284,0.037310717,0.3496939168,0.3241320109,0.1713717805,0.3843313189,0.210151911
51680001900,Urban,0.348758377662,0.085922574158,0.118118118118,0.487657000851,0.834605597964,0.659401166523,0.755211632003,0.398245614035,0.556,0.019371860887,0.957643850193,0.122664005008,0.157288079,0.4471533285,0.2629094372,0.2538924907,0.2169497901,0.215645751
51750010101,Urban,0.323680856882,0.079558652729,0.196196196196,0.934930213956,0.385496183206,0.752907267384,0.922075196904,0.334412955466,0.618,0.030574115552,0.906440157404,0.415673516868,0.189035599,0.4577425649,0.4777823386,0.2396880639,0.2252661781,0.2161342355
51760020100,Urban,0.502319819006,0.082613065327,0.052052052052,0.57095983519,0.801526717557,0.614367492364,0.933302447075,0.314844804318,0.547,0.054543253829,0.889772234643,0.130582134067,0.132371293,0.4507302908,0.3277380378,0.2125938112,0.3604292896,0.2167654273
51760060400,Urban,0.507641149732,0.079960513327,0.096096096096,0.620567657058,0.759541984733,0.659214656618,0.894978295995,0.370850202429,0.563,0.069107961618,0.903717717566,0.162922673031,0.235132079,0.4773391122,0.3554258052,0.2388121806,0.3570945858,0.2212789433
51595890200,Urban,0.142463458175,0.033305509182,0.346346346346,0.728942742944,0.745547073791,0.664218513153,0.997667841602,0.253846153846,0.49,0.014257112177,0.670851071641,0.303161786638,0.153304926,0.3939205394,0.552899342,0.1330905135,0.2168481701,0.2215460908
51510200105,Urban,0.442811334286,0.134115347019,0.523523523524,0.580365711943,0.786259541985,0.747167336578,0.933302447075,0.512820512821,0.831,0.66685618406,0.748034534224,0.195269836237,0.266506584,0.7177123859,0.6143544554,0.359514736,0.3904761653,0.2244741683
51027010100,Rural,0.181837177986,0.004241185488,0.063063063063,0.911786446435,0.917302798982,0.639062383942,0.951248103147,0.299865047233,0.465,0.000697364783,0.823800864579,0.32333960725,0.063456472,0.3056058042,0.4159731884,0.1523252123,0.1668096136,0.2245554711
51630000200,Urban,0.240445983108,0.072889469104,0.182182182182,0.794647596822,0.578880407125,0.738994499782,0.933302447075,0.325910931174,0.649,0.040569307288,0.722559649994,0.265305615864,0.189758221,0.4547573626,0.4492170005,0.223467591,0.2599692277,0.2247361498
51770002600,Urban,0.456934046714,0.08991416309,0.284284284284,0.808953116874,0.611959287532,0.628833908492,0.313483224412,0.357624831309,0.53,0.064037631047,0.758760936879,0.244330749934,0.285726908,0.4429971034,0.0755202842,0.3275188411,0.3950230005,0.2250398023
51760030200,Urban,0.502986678293,0.060385259631,0.396396396396,0.340432563495,0.375318066158,0.763191450756,0.984252035654,0.429689608637,0.639,0.064933767002,0.633371789148,0.25229070029,0.417634595,0.6153175445,0.5940626615,0.2132033118,0.4915874134,0.2274111372
51730810300,Urban,0,0.135906551549,0.118118118118,0.729149096738,0.821882951654,0.627612472824,0.933302447075,0.395546558704,0.552,0.028809604978,0.806679330675,0.208352665838,0.198083885,0.4031270721,0.3051265407,0.2718366219,0.0466009599,0.2274143289
51830370300,Urban,0.262429766948,0.039039408867,0.457457457457,0.839335261647,0.343511450382,0.791411188939,0.998823286488,0.466126855601,0.453,0.032281992997,0.846836993077,0.376577314116,0.180118608,0.4552073957,0.6332264405,0.2004351744,0.2122141023,0.2275047904
51730810700,Urban,0.446845381516,0.043436754177,0.062062062062,0.758978189993,0.65903307888,0.585199467034,0.687252800652,0.478002699055,0.403,0.044513638034,0.620661401376,0.134741353126,0.19226137,0.3975281143,0.1355989788,0.2626598957,0.4582576645,0.2283807265
51770000900,Urban,0.479961974832,0.083272283272,0.11011011011,0.683099778078,0.70737913486,0.633241096698,0.933302447075,0.309311740891,0.586,0.032306422974,0.842403945811,0.162869167329,0.168866861,0.4467664734,0.3561001282,0.222267157,0.3687192449,0.228904582
51710004900,Urban,0.464126324045,0.070046082949,0.64964964965,0.608187965701,0.452926208651,0.812452283415,0.933302447075,0.407152496626,0.472,0.096076434734,0.786945120266,0.442119244693,0.651799695,0.6109186019,0.7642957533,0.2073977316,0.3857575769,0.2309610284
51700031701,Urban,0.485271696789,0.070868134649,0.331331331331,0.925572946103,0.464376590331,0.757521005099,0.933302447075,0.402564102564,0.451,0.0564510129,0.88085460803,0.302416093318,0.285001481,0.47040795,0.5299803016,0.2277388273,0.3528862141,0.2325094723
51660000204,Urban,0.467252307565,0.07277820219,0.474474474474,0.832051769743,0.576335877863,0.700500489119,0.933302447075,0.296761133603,0.459,0.06868043703,0.851531565653,0.251408654075,0.21552475,0.4598157097,0.5654252342,0.1896055489,0.3550549203,0.2332294597
51760011100,Urban,0.502986678293,0.107581501137,0.182182182182,0.498565804419,0.676844783715,0.719988187525,0.999570799261,0.348987854251,0.527,0.039841960261,0.938564612533,0.274822202767,0.263249125,0.5066430533,0.5012420514,0.2147641433,0.3360330518,0.2347331751
51770001100,Urban,0.445931513422,0.021471861472,0.577577577578,0.543789081715,0.4631043257,0.770745183579,0.954615862096,0.284210526316,0.523,0.035643335669,0.533001466732,0.390435241958,0.434652459,0.5416888331,0.7269368695,0.1330581178,0.5022892411,0.240275318
51710005701,Urban,0.467127190833,0.110152784623,0.316316316316,0.764991009785,0.527989821883,0.685413335355,0.933302447075,0.395141700405,0.741,0.06076068284,0.975431951565,0.184850781488,0.299112628,0.5196230224,0.4462276601,0.2960482807,0.2918151597,0.2413417864
51770001200,Urban,0.445931513422,0.105266878756,0.274274274274,0.644271743478,0.641221374046,0.689966191881,0.987286571445,0.311336032389,0.589,0.066630539914,0.776861580321,0.21247078545,0.259522151,0.4971631329,0.4895246719,0.2214215891,0.3779956753,0.2413464971
51770001000,Urban,0.442134156094,0.070458135861,0.185185185185,0.65181403949,0.550890585242,0.603141011943,0.933302447075,0.421052631579,0.461,0.022209069518,0.534144190626,0.117961192275,0.235613683,0.4490668747,0.3189611181,0.2250338289,0.49901421,0.2415952868
51700030400,Urban,0.498208379983,0.083125,0.044044044044,0.72754230309,0.75572519084,0.648518408882,0.933302447075,0.368286099865,0.58,0.089441475215,0.673418657576,0.113676517672,0.239986346,0.4601013181,0.3227019216,0.24503758,0.4677876922,0.243355695
51059451400,Urban,0.46922708816,0.109867577958,0.254254254254,0.648834346975,0.748091603053,0.650424349513,0.933302447075,0.369500674764,0.725,0.221586549299,0.74074532137,0.16038365678,0.282627256,0.543056411,0.4259789991,0.283575174,0.4129220489,0.2438033177
51710005100,Urban,0.458326454063,0.078543005816,0.109109109109,0.573776987891,0.871501272265,0.655426136741,0.873813635022,0.327800269906,0.646,0.058744099328,0.764300635583,0.139979697635,0.260288949,0.4669160163,0.3524096965,0.2357562815,0.3931867749,0.2455646897
51105950300,Urban,0.274956273637,0.00802238806,0.344344344344,0.901296508503,0.774809160305,0.645642398924,0.942138730033,0.401079622132,0.269,0.004334099916,0.735834334722,0.264757837864,0.128343629,0.3230325168,0.4877426342,0.1514068944,0.2776734523,0.2460292617
51590000500,Rural,0.328632641795,0.054054054054,0.74974974975,0.73116634383,0.713740458015,0.663888458691,0.998222253316,0.367071524966,0.383,0.022155767751,0.927934574869,0.14530641854,0.22617198,0.4305289961,0.6695958678,0.1649633652,0.2178218082,0.2460348701
51760041100,Urban,0.509257993282,0.101801363194,0.385385385385,0.545178797829,0.541984732824,0.793982248396,0.933302447075,0.259379217274,0.738,0.131620940043,0.745129413159,0.356143245762,0.34256378,0.5851403932,0.626078465,0.223389913,0.4390722427,0.2465249259
51083930600,Rural,0.238146156982,0.056831790964,0.376376376376,0.849975723246,0.796437659033,0.66526247852,0.671750771393,0.311740890688,0.48,0.002343056834,0.871438408534,0.278669771064,0.090961254,0.3455405386,0.3590401686,0.2218038212,0.1824561665,0.2473657858
51760041300,Urban,0.509257993282,0.100454545455,0.087087087087,0.641379893901,0.77989821883,0.68541148387,0.817054784466,0.328070175439,0.58,0.076405861862,0.80336066466,0.307560112257,0.321195425,0.4774368658,0.3585344213,0.2541324695,0.4093922357,0.2491787732
51173030600,Rural,0.310633245451,0.039036973345,0.295295295295,0.894620650188,0.655216284987,0.649835903957,0.942138730033,0.299325236167,0.541,0.012886812588,0.735834334722,0.355999550333,0.193963927,0.3855483959,0.4920865314,0.1881155471,0.3029709376,0.2496207029
51640070101,Urban,0.282346544972,0.017867113345,0.305305305305,0.884077809731,0.865139949109,0.653722171361,0.974076322392,0.196086369771,0.484,0.015477500547,0.624196502131,0.319487603265,0.197791009,0.3569277938,0.550984437,0.1230682241,0.3398145929,0.2497392109
51740212100,Urban,0.464126324045,0.078206465068,0.35035035035,0.786613367446,0.834605597964,0.619793215243,0.933302447075,0.311470985155,0.481,0.076219305678,0.765339007015,0.162695999951,0.317801128,0.4423399997,0.4643780706,0.2087083385,0.3967700414,0.2498197906
51690000400,Rural,0.215165308871,0.074750830565,0.194194194194,0.81819627859,0.671755725191,0.637657977973,0.819578445525,0.483130904184,0.532,0.017854981439,0.885269619068,0.313245175979,0.167040555,0.3805764335,0.3147271934,0.283537162,0.1591114687,0.2514613099
51760020200,Urban,0.504688652815,0.04645934807,0.778778778779,0.659973859493,0.847328244275,0.625074522279,0.845731876614,0.30971659919,0.45,0.11302639659,0.907380102561,0.096943893906,0.211203744,0.4560752189,0.6043362189,0.1781904478,0.353134369,0.2514862987
51680000500,Urban,0.348758377662,0.029069767442,0.732732732733,0.585758607019,0.564885496183,0.649094329685,0.48943665373,0.285829959514,0.523,0.019571742512,0.375100729114,0.173828847149,0.320323477,0.4647712079,0.3789824388,0.2058814972,0.5138673988,0.2517680503
51810044004,Urban,0.309915436567,0.123788546256,0.563563563564,0.945555371361,0.254452926209,0.757601381339,0.933302447075,0.41983805668,0.792,0.038361725778,0.828116676361,0.266666900947,0.440927327,0.5519087298,0.5627552505,0.3206645452,0.2554263829,0.2544677885
51005070100,Urban,0.321563546402,0.019830200121,0.452452452452,0.915623636755,0.739185750636,0.689131008696,0.999842690032,0.358839406208,0.508,0.02246225291,0.844411120365,0.261170285803,0.232803033,0.3935680547,0.605147524,0.1777632946,0.2553805641,0.2546024373
51710003100,Urban,0.464126324045,0.082774217867,0.37037037037,0.791724853596,0.666666666667,0.660317107135,0.933302447075,0.432928475034,0.605,0.082764318465,0.93062068459,0.270135981774,0.389122864,0.4892662736,0.497392586,0.2734349751,0.3125272812,0.2562419226
51740211800,Urban,0.466355207694,0.098399671728,0.753753753754,0.730535703341,0.732824427481,0.60940703682,0.933302447075,0.275033738192,0.541,0.083514985014,0.892840712405,0.080672772868,0.259386749,0.4774969441,0.593078823,0.2093375743,0.3333638689,0.2565016663
51670820100,Urban,0.457018532755,0.075943396226,0.293293293293,0.748761329262,0.778625954198,0.66004820614,0.72208865906,0.37975708502,0.619,0.041086778608,0.95523588488,0.239283860851,0.27117446,0.4383890302,0.3521635618,0.2784480568,0.2949411843,0.2570933282
51121020700,Urban,0.447456131752,0.061837102261,0.352352352352,0.741280830444,0.557251908397,0.86589474982,0.941116047523,0.271255060729,0.621,0.024211217135,0.904644522042,0.478641070365,0.25653446,0.483363198,0.6913092353,0.1845863281,0.3139467851,0.2581722386
51590000600,Rural,0.328632641795,0.077017008286,0.276276276276,0.829037098355,0.690839694656,0.643109730557,0.848973870754,0.409176788124,0.549,0.036308497301,0.659209974549,0.126941516947,0.234880375,0.4157425532,0.339728965,0.2585495438,0.3547886057,0.25885335
51760021000,Urban,0.503102121051,0.082813891362,0.111111111111,0.654245851688,0.704834605598,0.672266810342,0.559946116459,0.397705802969,0.626,0.055473813841,0.701941664396,0.188400537548,0.211530177,0.4454580655,0.1612129011,0.3061297596,0.4567197488,0.2594759491
51700030600,Urban,0.498339301101,0.079510703364,0.177177177177,0.777762094123,0.736641221374,0.623803259877,0.933302447075,0.463292847503,0.607,0.079800518138,0.849757573766,0.133220990735,0.279070811,0.4550285575,0.3554796857,0.284214741,0.3780019774,0.2595740498
51590001000,Rural,0.328632641795,0.08056402439,0.072072072072,0.846944631183,0.741730279898,0.642396854305,0.99207715143,0.325641025641,0.598,0.029588032865,0.697860323582,0.229645047952,0.135705018,0.3863971878,0.3726103175,0.2266483761,0.3350888294,0.260353555
51710003501,Urban,0.464126324045,0.092049469965,0.28028028028,0.554802517696,0.821882951654,0.663798008194,0.933302447075,0.440755735493,0.627,0.123999897838,0.825122662456,0.130582108245,0.288953279,0.5022823531,0.4376597394,0.2682835157,0.3662987864,0.261068113
51620090200,Urban,0.140477713743,0.059266733939,0.656656656657,0.796584370986,0.681933842239,0.615744616153,0.646591730527,0.378947368421,0.528,0.021390665306,0.653312127882,0.185401741411,0.190402073,0.3849519119,0.3776720707,0.2498285755,0.224379598,0.2625605343
51680000300,Urban,0.33812410032,0.082689747004,0.38038038038,0.778547694679,0.820610687023,0.733567197694,0.999873568611,0.23697705803,0.53,0.019207513772,0.973355595192,0.346914888025,0.13887763,0.3997392575,0.6241136687,0.1715580206,0.2014011868,0.2626900185
51510201203,Urban,0.424246332919,0.142602797796,0.466466466466,0.625231783836,0.756997455471,0.618928408296,0.933302447075,0.424291497976,0.827,0.251054653189,0.895149864953,0.178987264574,0.357545473,0.5756416275,0.4823371157,0.3408129706,0.3023287547,0.2651754345
51760020300,Urban,0.502602943984,0.092679650772,0.083083083083,0.669735196644,0.917302798982,0.611825348749,0.90052539862,0.369905533063,0.511,0.050447901409,0.799074483825,0.28432942855,0.40975868,0.4432978341,0.3614393441,0.2485143432,0.4068579694,0.2655276248
51680000400,Urban,0.33812410032,0.099703012304,0.172172172172,0.75229465323,0.529262086514,0.68994168693,0.832548492935,0.403373819163,0.62,0.027939009453,0.547319655431,0.188677368225,0.204771703,0.4446083281,0.3031328121,0.2775841966,0.4185483264,0.2658891917
51013102003,Urban,0.462730692037,0.126551936079,0.345345345345,0.763875558474,0.734096692112,0.717679712231,0.933302447075,0.309176788124,0.645,0.225364312024,0.695804193552,0.333129589263,0.369250808,0.5359165107,0.5468548541,0.2644498406,0.431221783,0.2660567387
51059421400,Urban,0.428106248613,0.115885947047,0.325325325325,0.703439905869,0.735368956743,0.616291947847,0.933302447075,0.386099865047,0.783,0.199361933433,0.737865966345,0.156968107498,0.277084828,0.5209161518,0.41714664,0.3069355684,0.3852320625,0.2661661887
51680001600,Urban,0.339504253969,0.068474390578,0.419419419419,0.7845303227,0.530534351145,0.744902098909,0.853684735871,0.337786774629,0.65,0.021774882209,0.79815463618,0.327758876603,0.156292684,0.4390031765,0.5184449824,0.2335346754,0.2916783522,0.266479735
51760070601,Urban,0.509131586687,0.116031537451,0.323323323323,0.771642422107,0.595419847328,0.509886876433,0.976116403809,0.395681511471,0.696,0.100424970545,0.870573957876,0.129859648942,0.143444096,0.4553199158,0.3402593993,0.3008488406,0.375044522,0.2668427911
51660000207,Urban,0.488994886982,0.045494541307,0.578578578579,0.773651671234,0.479643765903,0.743856499878,0.933302447075,0.291632928475,0.343,0.072128395073,0.477935573304,0.298411783456,0.190046923,0.4456781994,0.6385454587,0.1383356641,0.5608908545,0.267002417
51740211500,Urban,0.466355207694,0.098415346122,0.113113113113,0.784043626417,0.739185750636,0.661626107161,0.933302447075,0.430229419703,0.713,0.063430212996,0.915191335396,0.314297364864,0.428227331,0.4837201435,0.4028507013,0.3061663289,0.3219719336,0.2678093497
51680000700,Urban,0.348758377662,0.087040618956,0.255255255255,0.721882494657,0.832061068702,0.652548003021,0.999969870935,0.371659919028,0.648,0.033895481898,0.789654419423,0.145533440922,0.289635932,0.4423901989,0.4546135699,0.2439182941,0.3025726707,0.2683249257
51059451601,Urban,0.46877112151,0.143353978085,0.423423423423,0.757746902087,0.916030534351,0.488546549278,0.933302447075,0.421592442645,0.803,0.306912683933,0.948589277075,0.069047103147,0.235628876,0.5154753346,0.365428365,0.3579011754,0.3066623206,0.2686420552
